ECA,,,
United States of America,HELM MEDICAL.,SYRINGES,"2,674,213.00"
United States of America,MERCK & CO. INC,VACCINE,"932,550.00"
United States of America,KOONS ARLINGTON TOYOTA.,VEHICLE,"6 5,683.20"
United States of America,KOONS FORD OF FALLS CHURCH.,VEHICLE,"3 7,372.89"
United States of America,"LONDON FOG, INC.","AEROSOL EQUIPMENT, GENERATOR, PARTS","4 8,000.00"
United States of America,RAYOMED.,BODY BAGS,"132,090.00"
United States of America,INTERNATIONAL BUILDING SE,CLEANING SERVICES,"132,000.00"
United States of America,ADVIZING IT.,COMPUTER LAPTOP,"4 8,491.40"
United States of America,"CORE BTS, INC.",COMPUTER S&E,"3 6,368.80"
United States of America,"CORE BTS, INC.",COMPUTER SOFTWARE,"4 0,056.00"
United States of America,CORASWORKS CORPORATION,COMPUTER SOFTWARE,"3 3,000.00"
United States of America,"MSLI, GP",COMPUTER SOFTWARE LICENSE,"194,620.00"
United States of America,"NORTEC COMMUNICATIONS, INC.",COMPUTER SOFTWARE LICENSE,"3 6,940.00"
United States of America,CLEARPATH SOLUTIONS GROUP.,COMPUTER SOFTWARE LICENSE,"3 2,427.35"
United States of America,"MERIDIAN BIOSCIENCE, IN",DIAGNOSTIC TEST KITS,"6 5,400.00"
United States of America,"CELLESTIS, INC",HOSPITAL EQUIPMENT,"4 4,360.00"
United States of America,J.REILLY ASSOCIATES,JANITORIAL SUPPLIES,"4 5,000.00"
United States of America,NUBENCO.,MEDICAL & SURGICAL S&E,"4 0,000.00"
United States of America,RAYOMED.,MEDICAL & SURGICAL S&E,"3 3,700.00"
United States of America,"FRANK PARSONS, INC.",PAPER,"3 7,816.00"
United States of America,"DISTRICT CREATIVE PRINTING, INC",PRINTING SERVICES,"3 8,788.00"
United States of America,"UNITED BOOK PRESS, INC",PRINTING SERVICES - PUBLI,"3 0,770.00"
United States of America,VB CONSULTING ASSOCIATES,SOFTWARE SERVICES,"4 5,080.00"
United States of America,H.D. HUDSON MANUFACTURING,SPRAYERS,"5 1,723.00"
United States of America,RAYOMED.,SURGICAL GOWN,"5 2,260.00"
United States of America,"CWX GROUP, LLC.",TECHNICAL SERVICES,"453,600.00"
United States of America,"ACCELERA SOLUTIONS, INC.",TECHNICAL SERVICES,"3 9,385.25"
United States of America,TRAVEL-ON LTD.,TRAVEL AGENCY SERVICES,"177,467.00"
United States of America,RAYOMED.,WATER QUALITY S&E,"106,000.00"
Uruguay,ROCHE INTERNATIONAL LTD.,ANTIVIRAL DRUG,"367,275.00"
Uruguay,BECTON DICKINSON DEL URUGUAY S.A.,SYRINGES,"4 6,785.60"
UNDP,,,
Afghanistan,ABDUL MAJID ALI KHIL LTD,"Armored vehicles' spare parts, as p","4 1,540.00"
Afghanistan,AFGHAN BRITISH GROUP CO. (B.R.G),ClothingSuplies-CTC Herat,"246,870.00"
Afghanistan,FARHAD ARIF LOGISTIC SERVICES CO,Copier machines-Regional EPS,"128,230.00"
Afghanistan,MEDIA SUPPORT PARTNERSHIP AFGHANISTAN,Dissemination of Documentary f,"383,000.00"
Afghanistan,MEDIA SUPPORT PARTNERSHIP AFGHANISTAN,Dissemination of PSA for TV 1,"652,920.00"
Afghanistan,IO GLOBAL SERVICES PRIVATE LIMITED,E) Satellite receivers,"253,780.00"
Afghanistan,MUSTAFA,E) Telephones,"4 6,300.00"
Afghanistan,SKILL TREE GROUP LOGITIC & SUPPLY SERVIC,Exp Adjustment 105830,"243,060.00"
Afghanistan,TIME PRO SUPPLY,Expenditure adjustment 97627,"3 5,380.00"
Afghanistan,TIME PRO SUPPLY,Expenditure adjustment 98582,"6 8,350.00"
Afghanistan,ZARIF ZUBAIR SEDIQ LTD,Furniture & Supplies-Drug Rehb,"7 4,310.00"
Afghanistan,FAISAL ENAIAT ZADA LTD,Furniture for CTC Kabul,"9 5,310.00"
Afghanistan,FAISAL ENAIAT ZADA LTD,Furniture for Herat RTC,"6 5,290.00"
Afghanistan,ARMAGHAN AFGHAN LOGISTICS SERVICES CO,Furniture for Justice faciliti,"4 8,210.00"
Afghanistan,ARMAGHAN AFGHAN LOGISTICS SERVICES CO,Furniture for Justice Faciliti,"4 1,880.00"
Afghanistan,ARMAGHAN AFGHAN LOGISTICS SERVICES CO,Furniture for Justice facilities un,"5 7,020.00"
Afghanistan,ARMAGHAN AFGHAN LOGISTICS SERVICES CO,Furniture for Justice Facilities un,"5 3,140.00"
Afghanistan,LIWAL LIMITED,"GIS Software, Printer- EPS","5 0,310.00"
Afghanistan,ABDULLAH OMAR LOGISTIC & TRADING LTD,Gym Equipments for PTCs,"8 0,050.00"
Afghanistan,MEGAPLUS AFGHANISTAN LTD,ICT Equipments - MOI from 2009,"4 9,850.00"
Afghanistan,TIME PRO SUPPLY,Inv#1029- Supplies for CTC,"6 8,350.00"
Afghanistan,CARTRIDGE GLOBE IT SERVICES,IT Equipment for PTC,"236,920.00"
Afghanistan,CARTRIDGE GLOBE IT SERVICES,"IT Equipmnt,Supplies for CTC","323,210.00"
Afghanistan,MEGAPLUS AFGHANISTAN LTD,"ITB - ICT Equips - MOE, the PO","6 0,700.00"
Afghanistan,AJS LOGISTICS SERVICES,Misc Equipments-CTC KBL,"380,130.00"
Afghanistan,HALO TRUST,office supply/ HALO,"4 8,650.00"
Afghanistan,SKILL TREE GROUP LOGITIC & SUPPLY SERVIC,"Online UPS, IT Equipmnts-LOTFA","243,060.00"
Afghanistan,AFGHAN TELECOM,Payment for Afghan Telecome for the,"4 6,280.00"
Afghanistan,DA AFGHANISTAN BRISHNA SHIRKAT,Payment for electricity Charge  of,"3 7,850.00"
Afghanistan,DA AFGHANISTAN BRISHNA SHIRKAT,Payment for electricyt Charge,"3 2,680.00"
Afghanistan,ROSHAN TELECOM DEVELOP.CO. AFG.LTD.,Payment for Postpaid for the period,"3 7,180.00"
Afghanistan,IO GLOBAL SERVICES PRIVATE LIMITED,Payment for the cost of intern,"3 2,340.00"
Afghanistan,AL NAKHEEL PRINTING PRESS,Printing School Notesbooks-GMU,"141,760.00"
Afghanistan,MEDIA SUPPORT PARTNERSHIP AFGHANISTAN,Production of Documentary film,"3 4,820.00"
Afghanistan,CETENA GROUP,"Provision of script writing, P","9 7,960.00"
Afghanistan,TIME PRO SUPPLY,RDP#10-CTC Stationeries,"3 5,380.00"
Afghanistan,ALPHA TECH INTERNATIONAL LTD,Softwares for EPS- LOTFA,"6 3,400.00"
Afghanistan,CARTRIDGE GLOBE IT SERVICES,Supply &IT Equip for Herat PTC,"363,870.00"
Afghanistan,AFGHAN CRYSTAL CO LTD,"Toners,IT Eqpmnt-EPS","5 3,840.00"
Afghanistan,AZARM LTD,Toyota LandCrsr for DM Adm,"110,000.00"
Angola,EMP TRANS LDA CARGO CENTER LUANDA,Correct COA Inv 310.008/11Emp,"4 2,220.00"
Angola,EMP TRANS LDA CARGO CENTER LUANDA,EMP-TRANS Payment,"3 4,720.00"
Angola,UNICEF - COPENHGEN,"Reagents, diagnostic or labora","304,860.00"
Argentina,SIEMENS S.A.,Not identified,"700,000.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 0,160.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"3 0,420.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"5 8,030.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"3 4,840.00"
Argentina,FARMED S.A.,Not identified,"9 7,450.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 8,340.00"
Argentina,RAYOS X DINAN S.A.,Not identified,"6 1,300.00"
Argentina,STILNOVO SA,Not identified,"8 2,280.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"4 9,390.00"
Argentina,WENT S.A.,Not identified,"5 3,870.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"7 9,280.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"6 7,080.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"181,190.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"8 5,820.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"7 3,260.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"106,760.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"4 9,050.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"7 1,190.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 7,630.00"
Argentina,MEDIPHARMA S.A.,Not identified,"3 2,950.00"
Argentina,MEDIFARM S.A.,Not identified,"3 2,790.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 3,820.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 0,070.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"6 1,970.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"4 7,740.00"
Argentina,FARMED S.A.,Not identified,"9 6,490.00"
Argentina,FARMED S.A.,Not identified,"6 4,260.00"
Argentina,FARMED S.A.,Not identified,"9 4,700.00"
Argentina,MEDIFARM S.A.,Not identified,"5 9,230.00"
Argentina,FARMED S.A.,Not identified,"116,110.00"
Argentina,FARMED S.A.,Not identified,"5 5,570.00"
Argentina,FARMED S.A.,Not identified,"7 8,150.00"
Argentina,FARMED S.A.,Not identified,"9 8,060.00"
Argentina,FARMED S.A.,Not identified,"3 4,550.00"
Argentina,FARMED S.A.,Not identified,"9 7,490.00"
Argentina,FARMED S.A.,Not identified,"9 8,300.00"
Argentina,FARMED S.A.,Not identified,"9 7,390.00"
Argentina,MEDIFARM S.A.,Not identified,"4 4,100.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"158,930.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"3 2,640.00"
Argentina,CASA PIRO S.A.,Not identified,"3 1,930.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"7 8,020.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"8 6,570.00"
Argentina,CASA PIRO S.A.,Not identified,"8 5,260.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"8 1,420.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"7 3,010.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"8 3,280.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"6 3,950.00"
Argentina,CASA PIRO S.A.,Not identified,"7 9,780.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"170,950.00"
Argentina,CENTRO DE SERVICIOS HOSPITALARIOS S.A.,Not identified,"142,450.00"
Argentina,CENTRO DE SERVICIOS HOSPITALARIOS S.A.,Not identified,"7 1,920.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"5 1,640.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"5 7,170.00"
Argentina,WENT S.A.,Not identified,"4 9,100.00"
Argentina,WENT S.A.,Not identified,"3 5,530.00"
Argentina,INSTRUEQUIPOS S.A.,Not identified,"4 9,330.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"5 7,190.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"5 2,910.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"4 7,070.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 5,400.00"
Argentina,FARMED S.A.,Not identified,"190,720.00"
Argentina,FARMED S.A.,Not identified,"7 3,180.00"
Argentina,CASA PIRO S.A.,Not identified,"6 9,240.00"
Argentina,CASA PIRO S.A.,Not identified,"173,290.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"4 1,120.00"
Argentina,MACOR INSUMOS HOSPITALARIOS S.R.L.,Not identified,"5 2,490.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"154,030.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"9 8,020.00"
Argentina,DROGUERIA COMARSA S.A.,Not identified,"207,030.00"
Argentina,JOSE ANACLETO E HIJOS SA,Not identified,"3 8,140.00"
Argentina,BG ANALIZADORES SA,Not identified,"3 2,640.00"
Argentina,QUIRO-MED S.A.C.I.F.,Not identified,"4 2,550.00"
Argentina,GRIENSU S.A.,Not identified,"194,050.00"
Argentina,GRIENSU S.A.,Not identified,"4 3,620.00"
Argentina,NETSIS SRL,Not identified,"3 1,380.00"
UNDP Continued,,,
Argentina,COLOMBO DANIEL MARCELO,Not identified,"3 8,170.00"
Argentina,PRODMOBI SA,Not identified,"787,890.00"
Argentina,DATASTAR ARGENTINA S.A.,Not identified,"252,110.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"750,950.00"
Argentina,JENCK S.A.,Not identified,"7 9,200.00"
Argentina,EDSI TREND ARGENTINA SA,Not identified,"3 9,510.00"
Argentina,INTELEKTRON SA,Not identified,"3 6,440.00"
Argentina,OFFICEXPERTS S.R.L.,Not identified,"6 0,360.00"
Argentina,IT NETWORK SA,Not identified,"8 0,160.00"
Argentina,PRINTER PLANET S.R.L.,Not identified,"7 5,830.00"
Argentina,QUIRO-MED S.A.C.I.F.,Not identified,"5 6,610.00"
Argentina,AEROTERRA S.A.,Not identified,"9 4,860.00"
Argentina,GRUNOW JUAN EDUARDO,Not identified,"4 1,540.00"
Argentina,MARTINS BARRIGA WALTER JAVIER,Not identified,"5 4,590.00"
Argentina,EZCA SERVICIOS GENERALES SA,Not identified,"7 7,280.00"
Argentina,M.O.S.T. SA,Not identified,"9 8,320.00"
Argentina,POLARI MARTIN LEONIDAS,Not identified,"7 3,090.00"
Argentina,ROMERO DIEGO  LUIS,Not identified,"5 4,960.00"
Argentina,BRITE PRODUCTIONS LATIN AMERICA SRL,Not identified,"7 1,950.00"
Argentina,14 AL CENTRO S.A.,Not identified,"6 0,110.00"
Argentina,SORUCO JORGE NICOLAS,Not identified,"3 8,650.00"
Argentina,SOUZA ALBA,Not identified,"9 3,380.00"
Argentina,GHIO JUAN MATIAS,Not identified,"7 2,090.00"
Argentina,DINATECH S.A.,Not identified,"225,500.00"
Argentina,AVNET TECHNOLOGY SOLUTIONS ARGENTINA SA,Not identified,"1,339,620.00"
Argentina,GRUPO AUDIOVISUAL MERIDIANO ARGENTINA SA,Not identified,"7 5,000.00"
Argentina,NEC ARGENTINA S.A.,Not identified,"350,570.00"
Argentina,DINATECH S.A.,Not identified,"169,810.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"782,130.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"156,430.00"
Argentina,DINATECH S.A.,Not identified,"2,867,550.00"
Argentina,COMMSUR SRL,Not identified,"288,680.00"
Argentina,NEC ARGENTINA S.A.,Not identified,"4,935,300.00"
Argentina,EUROCALCOGRAFICA SA,Not identified,"1,264,290.00"
Argentina,DINATECH S.A.,Not identified,"3,903,640.00"
Argentina,MEGATRANS SA,Not identified,"1,178,880.00"
Argentina,MEGATRANS SA,Not identified,"294,720.00"
Argentina,INSUMOS AMG LA PLATA SA,Not identified,"7 7,410.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"156,930.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"799,900.00"
Argentina,PARAMETRO SA,Not identified,"7 9,710.00"
Argentina,IVECAM SA,Not identified,"314,580.00"
Argentina,GMS SA,Not identified,"6 5,790.00"
Argentina,NEC ARGENTINA S.A.,Not identified,"1,979,520.00"
Argentina,INSUMOS AMG LA PLATA SA,Not identified,"294,830.00"
Argentina,NEC ARGENTINA S.A.,Not identified,"2,632,210.00"
Argentina,INSUMOS AMG LA PLATA SA,Not identified,"8 8,200.00"
Argentina,TELESPAZIO ARGENTINA SA,Not identified,"666,830.00"
Argentina,TELESPAZIO ARGENTINA SA,Not identified,"8 0,660.00"
Argentina,TELESPAZIO ARGENTINA SA,Not identified,"4 5,940.00"
Argentina,DINATECH S.A.,Not identified,"8 9,690.00"
Argentina,DINATECH S.A.,Not identified,"639,400.00"
Argentina,DINATECH S.A.,Not identified,"3,247,490.00"
Argentina,DINATECH S.A.,Not identified,"639,400.00"
Argentina,DINATECH S.A.,Not identified,"639,400.00"
Argentina,DINATECH S.A.,Not identified,"617,110.00"
Argentina,DINATECH S.A.,Not identified,"652,850.00"
Argentina,DINATECH S.A.,Not identified,"639,400.00"
Argentina,IVECAM SA,Not identified,"8 1,410.00"
Argentina,SHC SRL,Not identified,"8 8,170.00"
Argentina,TRACKER S.A.,Not identified,"1,665,830.00"
Argentina,LABORATORIO LKM SA,Not identified,"488,660.00"
Argentina,LABORATORIO LKM SA,Not identified,"488,330.00"
Argentina,LABORATORIO LKM SA,Not identified,"455,820.00"
Argentina,LABORATORIOS FILAXIS S.A.,Not identified,"512,270.00"
Argentina,ROEMMERS S.A.I.C.F.,Not identified,"705,090.00"
Argentina,INGHEN SA,Not identified,"5 8,960.00"
Argentina,GMS SA,Not identified,"5 3,000.00"
Argentina,GMS SA,Not identified,"5 2,010.00"
Argentina,GRAFICA TADDEO SRL,Not identified,"6 1,000.00"
Argentina,ARTES GRAFICAS BUSCHI S.A.,Not identified,"3 9,310.00"
Argentina,COLAVITTO VICTOR MARCELO,Not identified,"3 7,020.00"
Argentina,BG ANALIZADORES SA,Not identified,"3 6,840.00"
Argentina,MEDIPHARMA S.A.,Not identified,"3 4,940.00"
Argentina,LABORATORIOS DUNCAN S.A.,Not identified,"4 4,850.00"
Argentina,LAFEDAR SOCIEDAD ANONIMA,Not identified,"5 7,390.00"
Argentina,LAFEDAR SOCIEDAD ANONIMA,Not identified,"3 3,860.00"
Argentina,ELI LILLY INTERAMERICA INC SUC.ARG.,Not identified,"396,110.00"
Argentina,LABORATORIOS DUNCAN S.A.,Not identified,"4 5,060.00"
Argentina,LABORATORIO PABLO CASSARA SRL,Not identified,"114,550.00"
Argentina,SAVANT PHARM S.A.,Not identified,"116,790.00"
Argentina,KLONAL S.R.L.,Not identified,"115,490.00"
Argentina,LABORATORIOS FABRA S.A.,Not identified,"9 6,570.00"
Argentina,LABORATORIOS FABRA S.A.,Not identified,"9 5,650.00"
Argentina,ROFINA S.A.I.C.F.,Not identified,"4 1,020.00"
Argentina,SANT GALL FRIBURG Q.C.I.  S.R.L.,Not identified,"3 6,230.00"
Argentina,CASCALES FRANCISCO,Not identified,"5 5,410.00"
Argentina,DRAWER S.A.,Not identified,"115,750.00"
Argentina,NARVAEZ VILLARRUBIA CLAUDIA WUILLMA,Not identified,"3 8,060.00"
Argentina,LABORATORIOS DUNCAN S.A.,Not identified,"4 9,320.00"
Argentina,LABORATORIOS DUNCAN S.A.,Not identified,"4 8,560.00"
Argentina,KLONAL S.R.L.,Not identified,"4 8,300.00"
Argentina,LABORATORIOS FABRA S.A.,Not identified,"4 6,380.00"
Argentina,KLONAL S.R.L.,Not identified,"4 9,440.00"
Argentina,LAFEDAR SOCIEDAD ANONIMA,Not identified,"354,130.00"
Argentina,LABORATORIOS FABRA S.A.,Not identified,"4 5,660.00"
Argentina,SANT GALL FRIBURG Q.C.I.  S.R.L.,Not identified,"3 7,110.00"
Argentina,LABORATORIO PABLO CASSARA SRL,Not identified,"116,210.00"
Argentina,BIOCIENTIFICA SA,Not identified,"5 7,390.00"
Argentina,MEDIPHARMA S.A.,Not identified,"3 5,450.00"
Argentina,DRAWER S.A.,Not identified,"140,300.00"
Argentina,MICROLAT S.R.L.,Not identified,"3 9,250.00"
Argentina,INVITROGEN ARGENTINA SA,Not identified,"9 8,050.00"
Argentina,LABORATORIO INTERNACIONAL ARGENTINO SA,Not identified,"144,120.00"
Argentina,KLONAL S.R.L.,Not identified,"115,490.00"
Argentina,DRAWER S.A.,Not identified,"137,020.00"
Argentina,KLONAL S.R.L.,Not identified,"6 6,160.00"
Argentina,SAVANT PHARM S.A.,Not identified,"9 7,150.00"
Argentina,INDRA SI SA,Not identified,"350,860.00"
Argentina,ESTUDIOS Y PROYECTOS SRL,Not identified,"235,260.00"
Argentina,SOUZA ALBA,Not identified,"8 5,020.00"
Argentina,ESTUDIOS Y PROYECTOS SRL,Not identified,"119,350.00"
Argentina,ESTUDIOS Y PROYECTOS SRL,Not identified,"9 5,000.00"
Argentina,ESTUDIOS Y PROYECTOS SRL,Not identified,"139,710.00"
Argentina,ESTUDIOS Y PROYECTOS SRL,Not identified,"115,850.00"
Argentina,DINATECH S.A.,Not identified,"213,830.00"
Argentina,DINATECH S.A.,Not identified,"2,336,270.00"
Argentina,SHC SRL,Not identified,"8 9,790.00"
Argentina,DELL AMERICA LATINA CORP.,Not identified,"1,946,830.00"
Argentina,TRACKER S.A.,Not identified,"788,560.00"
UNDP Continued,,,
Argentina,HEWLETT PACKARD ARGENTINA S.R.L.,Not identified,"133,800.00"
Argentina,EXO S.A.,Not identified,"431,740.00"
Argentina,GRANET S.A.,Not identified,"3 3,140.00"
Argentina,INDRA SI SA,Not identified,"9 5,180.00"
Argentina,DINATECH S.A.,Not identified,"350,590.00"
Argentina,MILKAO SA,Not identified,"4 2,860.00"
Argentina,PLANTIE TALLERES GRAFICOS SA,Not identified,"3 3,320.00"
Argentina,CAETANO RUBEN DARIO,Not identified,"3 2,940.00"
Argentina,RANDOM HOUSE MONDADORI SA,RBLAC PUBLICACION REPORT ON SOCIAL,"5 8,060.00"
Argentina,LATIN GRAFICA S.R.L.,REFBICENTENARIO IMPRESION DE 250 EJ,"3 0,850.00"
Armenia,AR AND AR DESIGN CONSTRUCTION,"Design, manufacturing and deli","3 1,440.00"
Armenia,MAGGA PRODUCTION COOPERATIVE,E) Agricultural machinery & eq,"7 8,000.00"
Armenia,LOGIC INTER LLC,E) Food and beverage equipment,"4 3,330.00"
Armenia,MAGGA PRODUCTION COOPERATIVE,Geizer 1600 fire extinguish mo,"8 5,400.00"
Armenia,MAGGA PRODUCTION COOPERATIVE,Geizer 1600 fire extinguish motor p,"8 5,400.00"
Armenia,GALOPER Co. Ltd.,NISSAN SLX TYPE 2 4WD,"3 5,120.00"
Armenia,SEAR GROUP LLC,Procurement of polyethylene ir,"3 9,170.00"
Armenia,LOGIC INTER LLC,Slip on Unit in Inox low press,"3 7,350.00"
Australia,STERIDIUM PTY LTD,"Autoclave System, Delivery: Ninh Bi","8 7,280.00"
Austria,SCHAGERL,30% OC 0051/ AJUSTE V 30097,"3 0,880.00"
Austria,SCHAGERL,"70% OC104,8 TROMPETA-2 TROMBON","3 8,250.00"
Austria,AMEX EXPORT-IMPORT GMBH,A) Laboratory Equipment,"176,640.00"
Austria,AMEX EXPORT-IMPORT GMBH,"AmpliSens® HIV-Monitor, packin","8 4,400.00"
Austria,AMEX EXPORT-IMPORT GMBH,AmpliSens® HIV-Monitor-FRT TR-V0-M(,"4 3,000.00"
Austria,AMEX EXPORT-IMPORT GMBH,Automated Enzyme Immunoassay A,"5 5,730.00"
Austria,AMEX EXPORT-IMPORT GMBH,Automated Enzyme Immunoassay Analyz,"8 5,220.00"
Austria,AMEX EXPORT-IMPORT GMBH,Automated system for mycobater,"260,620.00"
Austria,AMEX EXPORT-IMPORT GMBH,Automated system for mycobaterium d,"282,850.00"
Austria,AMEX EXPORT-IMPORT GMBH,"BD FACS Count, PAC-50","7 3,070.00"
Austria,AMEX EXPORT-IMPORT GMBH,"BeneHeart D3 is one compact , durab","5 2,380.00"
Austria,AMEX EXPORT-IMPORT GMBH,Biological safety cabinet and,"4 7,520.00"
Austria,AMEX EXPORT-IMPORT GMBH,Biological safety cabinet and spare,"4 7,310.00"
Austria,AMEX EXPORT-IMPORT GMBH,CD count kits and related item,"3 1,710.00"
Austria,AMEX EXPORT-IMPORT GMBH,E) Land Transport,"4 0,120.00"
Austria,AMEX EXPORT-IMPORT GMBH,E) Medical Equipment,"870,440.00"
Austria,AMEX EXPORT-IMPORT GMBH,E) Medical Kits - lot 1 year 2,"6 0,010.00"
Austria,AMEX EXPORT-IMPORT GMBH,E) Medical Kits - Lot 2 year 3,"4 5,380.00"
Austria,AMEX EXPORT-IMPORT GMBH,ELISA HIV test kits,"7 9,120.00"
Austria,AMEX EXPORT-IMPORT GMBH,Endoscopic equipment as per th,"468,510.00"
Austria,AMEX EXPORT-IMPORT GMBH,Equipment for real-time PCR an,"110,850.00"
Austria,AMEX EXPORT-IMPORT GMBH,Equipment for real-time PCR analysi,"128,570.00"
Austria,AMEX EXPORT-IMPORT GMBH,Flow Cytometer Partec PAS 3 Co,"4 0,730.00"
Austria,AMEX EXPORT-IMPORT GMBH,Flow Cytometer Reagents for Partec,"4 2,370.00"
Austria,AMEX EXPORT-IMPORT GMBH,"Freezers, low temperature","7 3,150.00"
Austria,AMEX EXPORT-IMPORT GMBH,High Frequency Mobile X-ray Equipme,"3 5,100.00"
Austria,AMEX EXPORT-IMPORT GMBH,HIV test kits and blood group,"150,860.00"
Austria,AMEX EXPORT-IMPORT GMBH,HIV test kits and related item,"7 5,870.00"
Austria,AMEX EXPORT-IMPORT GMBH,IFA diagnostics on HIV 1/2 ant,"106,780.00"
Austria,AMEX EXPORT-IMPORT GMBH,Lab furniture,"8 6,450.00"
Austria,AMEX EXPORT-IMPORT GMBH,Laboratory Eqiupment & Supply,"271,270.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT - Blood D,"3 1,240.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT - RT PCR,"690,100.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT & SUPPLIE,"172,670.00"
Austria,AMEX EXPORT-IMPORT GMBH,Laboratory Equipment & Supply,"271,270.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT AND REAGE,"3 2,110.00"
Austria,AMEX EXPORT-IMPORT GMBH,Laboratory equipment and suppl,"271,270.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT- Consumab,"3 1,530.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY EQUIPMENT Consumabl,"4 5,140.00"
Austria,AMEX EXPORT-IMPORT GMBH,"Laboratory equipment, special","474,070.00"
Austria,AMEX EXPORT-IMPORT GMBH,"LABORATORY EQUIPMENT, Thermal","4 2,700.00"
Austria,AMEX EXPORT-IMPORT GMBH,"LABORATORY EQUIPMENT, Thermal Incub","3 9,220.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY SUPPLIES - item 1 and 2,"110,480.00"
Austria,AMEX EXPORT-IMPORT GMBH,LABORATORY SUPPLIES - item item 3 -,"6 3,760.00"
Austria,AMEX EXPORT-IMPORT GMBH,Medical supplies,"157,210.00"
Austria,AMEX EXPORT-IMPORT GMBH,Medical waste incinerator,"134,200.00"
Austria,AMEX EXPORT-IMPORT GMBH,Microscopes CX21,"9 5,090.00"
Austria,AMEX EXPORT-IMPORT GMBH,Reagents and test kits,"4 9,190.00"
Austria,AMEX EXPORT-IMPORT GMBH,Reagents for BPC Keylab analyz,"8 8,330.00"
Austria,AMEX EXPORT-IMPORT GMBH,Reagents for Global 300/600 an,"112,640.00"
Austria,AMEX EXPORT-IMPORT GMBH,Reagents for National Microbio,"4 9,060.00"
Austria,AMEX EXPORT-IMPORT GMBH,Reagents for Pentra 400 analyz,"3 7,090.00"
Austria,AMEX EXPORT-IMPORT GMBH,"Reagents, diagnostic or laboratory,","6 0,780.00"
Austria,AMEX EXPORT-IMPORT GMBH,Required after sales Services,"9 1,910.00"
Austria,AMEX EXPORT-IMPORT GMBH,Sea freight transport item 1 and 2,"7 3,010.00"
Austria,AMEX EXPORT-IMPORT GMBH,Sperm Washing Equipment as per,"9 2,050.00"
Austria,AMEX EXPORT-IMPORT GMBH,Sperm Washing Equipment as per the,"105,170.00"
Austria,AMEX EXPORT-IMPORT GMBH,Sputum cups - polypropylene (PP),"4 8,020.00"
