Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
BUKKEHAVE A/S,DNK,8436898,CP149 VEHICLES,Orders Awarded,2008,Q1Q2,Denmark,PROCUREMENT
BUKKEHAVE A/S,DNK,8436898,CP149 VEHICLES,Orders Awarded,2008,Q1Q2,Denmark,PROCUREMENT
BUKKEHAVE A/S,DNK,1521667,CP156 VEHICLES,Orders Awarded,2008,Q1Q2,Denmark,PROCUREMENT
DSV AIR & SEA AS,DNK,199100,TRANSPORTATION SERVICES,Orders Awarded,2009,Q3Q4,Denmark,PROCUREMENT
BUKKEHAVE A/S,DNK,842273,CP NON HOST NATION SERVICES,Orders Awarded,2009,Q3Q4,Denmark,PROCUREMENT
BUKKEHAVE A/S,DNK,1584406,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Denmark,PROCUREMENT
NCS FUEL A/S,DNK,1935582,CAPABILITY PACKAGES SUPPLIES,Orders Awarded,2009,Q1Q2,Denmark,PROCUREMENT
SATAIR A/S,DNK,551730,AIRCRAFT SUPPLIES,Orders Awarded,2010,Q3Q4,Denmark,PROCUREMENT
DSV AIR & SEA AS,DNK,188700,TRANSPORT KABUL-ATHENS,Orders Awarded,2011,Q3Q4,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,433877,CARS,Orders Awarded,2011,Q3Q4,Denmark,PROCUREMENT
SATAIR A/S,DNK,551730,AIRCRAFT SUPPLIES,Orders Awarded,2011,Q1Q2,Denmark,PROCUREMENT
FALCK SCHMIDT DEFENCE SYSTEMS,DNK,639795,TRADE STUDY UPGRADE & INTEGRATION ETS2 TURRET,Orders Awarded,2011,Q3Q4,Denmark,PROCUREMENT
DANTHERM AIR HANDLING A/S,DNK,95648,AIR CONDITIONER WITH 6/16 KW HEATIN,Orders Awarded,2012,Q3Q4,Denmark,PROCUREMENT
SATAIR A/S,DNK,153829,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Denmark,PROCUREMENT
DANISH AEROTECH A/S,DNK,250000,AMRAAM IN-COUNTRY SUPPORT,Outline Agreement,2012,Q3Q4,Denmark,PROCUREMENT
HSS ENGINEERING APS,DNK,350000,MAINTENANCE SERVICE FOR KAIA GIANT VOICE,Outline Agreement,2012,Q3Q4,Denmark,PROCUREMENT
HSS ENGINEERING APS,DNK,539000,MAINTENANCE SERVICE FOR KAF GIANT VOICE,Outline Agreement,2012,Q3Q4,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,225767,PROVISION OF HAZMAT TRAILER,Orders Awarded,2013,Q3Q4,Denmark,PROCUREMENT
INVISIO COMMUNICATIONS AS,DNK,530621,SUPPLY OF X50 INVISIO SYSTEMS,Orders Awarded,2013,Q1Q2,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,3000000,MORTUARY SUPPORT SERVICES,Outline Agreement,2013,Q1Q2,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,,STO130001,,2013,Q3Q4,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,PDU130001,,2013,Q3Q4,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,ELK13056,,2013,Q3Q4,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,130652,FACILITIES RETROGRADE WORKS,Orders Awarded,2014,Q1Q2,Denmark,PROCUREMENT
AXCESS A/S,DNK,584540,HARDWARE/SOFTWARE FOR 13 VOICE RECORDER,Outline Agreement,2014,Q1Q2,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,652311,HAZARDOUS MATERIAL,Orders Awarded,2014,Q3Q4,Denmark,PROCUREMENT
DAMASEC LTD,DNK,1100000,MOBILIZATION,Outline Agreement,2014,Q3Q4,Denmark,PROCUREMENT
NCS FUEL A/S,DNK,46626155,FLIGHT LINE FUEL SERVICES,Outline Agreement,2014,Q1Q2,Denmark,PROCUREMENT
COPENHAGEN CONTRACTORS A/S,DNK,,STO140001,,2014,Q1Q2,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,STO140001A,,2014,Q1Q2,Denmark,BIDDING
ASSOCIATED ENERGY GROUP FUELS,DNK,,BRN140001,,2014,Q1Q2,Denmark,BIDDING
DAMASEC GLOBAL GROUP ApS,DNK,,ASA14010,,2014,Q1Q2,Denmark,BIDDING
AP SERVICES,DNK,,PIO14038,,2014,Q3Q4,Denmark,BIDDING
DSV AIR & SEA AS,DNK,214000,TRANSPORTATION SERVICES FOR MOVING VEHICLES,Orders Awarded,2015,Q3Q4,Denmark,PROCUREMENT
DSV AIR & SEA AS,DNK,221000,TRANSPORTATION OF TRUCK AND VEHICLES,Orders Awarded,2015,Q1Q2,Denmark,PROCUREMENT
SATAIR A/S,DNK,423713,WHEEL LANDING GEAR,Orders Awarded,2015,Q1Q2,Denmark,PROCUREMENT
SATAIR A/S,DNK,681180,BRAKE ASSEMBLY,Orders Awarded,2015,Q1Q2,Denmark,PROCUREMENT
RUBTEC A/S,DNK,700000,VEHICLE SPARE PARTS,Outline Agreement,2015,Q1Q2,Denmark,PROCUREMENT
DANTHERM AIR HANDLING A/S,DNK,970000,CONDITIONNER SPARE PARTS,Outline Agreement,2015,Q3Q4,Denmark,PROCUREMENT
AP SERVICES,DNK,2000000,THERMOS BOTTLES WITH COVERS,Outline Agreement,2015,Q3Q4,Denmark,PROCUREMENT
INVISIO COMMUNICATIONS AS,DNK,2076079,CASQUE + SPARES,Outline Agreement,2015,Q3Q4,Denmark,PROCUREMENT
RUBTEC A/S,DNK,,CBO15005,,2015,Q1Q2,Denmark,BIDDING
RUBTEC A/S,DNK,,CBO15001,,2015,Q1Q2,Denmark,BIDDING
HSS ENGINEERING APS,DNK,,FGI150005,,2015,Q3Q4,Denmark,BIDDING
DSV AIR & SEA AS,DNK,,GSC15LS153,,2015,Q3Q4,Denmark,BIDDING
AP SERVICES,DNK,,ABO16015,,2015,Q3Q4,Denmark,BIDDING
ITW GSE APS,DNK,118290,SUPPLY OF GENERATOR SET HOBART 90 KVA,Orders Awarded,2016,Q3Q4,Denmark,PROCUREMENT
SATAIR A/S,DNK,478864,SUPPLY OF ENGINEAIRCRAFTRECIPROCATING,Orders Awarded,2016,Q3Q4,Denmark,PROCUREMENT
SKY-WATCH AS,DNK,2000000,LOGISTIC SUPPORT SERVICES OF HUGINN X1,Outline Agreement,2016,Q3Q4,Denmark,PROCUREMENT
HSS ENGINEERING APS,DNK,2257657,GIANT VOICE SERVICES - KAF 2016,Outline Agreement,2016,Q3Q4,Denmark,PROCUREMENT
AP SERVICES,DNK,,SHE16001,,2016,Q1Q2,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,JDD160001,,2016,Q1Q2,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,JDV16018R1,,2016,Q1Q2,Denmark,BIDDING
HSS ENGINEERING APS,DNK,,FGI160003,,2016,Q1Q2,Denmark,BIDDING
COPENHAGEN CONTRACTORS A/S,DNK,,PDU160004,,2016,Q1Q2,Denmark,BIDDING
PURE H2O A/S,DNK,,APL16007,,2016,Q3Q4,Denmark,BIDDING
UNIOIL SUPPLY AS,DNK,,AHE16005,,2016,Q3Q4,Denmark,BIDDING
DFDS A/S,DNK,,GSC16LS001,,2016,Q3Q4,Denmark,BIDDING
DSV AIR & SEA AS,DNK,,DDZ16001,,2016,Q3Q4,Denmark,BIDDING
SATAIR A/S,DNK,154453,"SUPPLY OF WITCH,THERMOSTATIC",Orders Awarded,2017,Q3Q4,Denmark,PROCUREMENT
DSV AIR & SEA AS,DNK,7647982,MULTI-MODAL STRATEGIC TRANSPORTATION FOR DEPLOYED NATO COMMAND STRUCTURE,Outline Agreement,2017,Q3Q4,Denmark,PROCUREMENT
UNIOIL SUPPLY AS,DNK,,BBE16007,,2017,Q1Q2,Denmark,BIDDING
NCS FUEL A/S,DNK,,BBE16007,,2017,Q1Q2,Denmark,BIDDING
NORDIC CAMP SUPPLY APS,DNK,,MLU170002,,2017,Q1Q2,Denmark,BIDDING
CHS MIDDLE EAST LLC,DNK,,BBE17009,,2017,Q3Q4,Denmark,BIDDING
NORDIC CAMP SUPPLY APS,DNK,,MLU170006,,2017,Q3Q4,Denmark,BIDDING
"PRECISION TECHNIC DEFENCE A/S",DNK,,GRA17092,,2018,Q1Q2,Denmark,BIDDING
RUBTEC AS,DNK,,TPA17020,,2018,Q1Q2,Denmark,BIDDING
INDRA-ECE U.T.E.,ESP,1408964,"DESIGN, DEVELOPT AND INSTALLATION OF ALR-400",Orders Awarded,2008,Q3Q4,Spain,PROCUREMENT
INDRA-ECE U.T.E.,ESP,2063929,PROCUREMENT OF GROUND SUPPORT EQUIPT FOR ASE,Orders Awarded,2008,Q3Q4,Spain,PROCUREMENT
INDRA-ECE U.T.E.,ESP,2736205,"DESIGN, DEVELOPT AND INSTALLATION OF ASE ON CHINOOK HELICOPTERS",Orders Awarded,2008,Q3Q4,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,75274,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q1Q2,Spain,PROCUREMENT
STORKENCI SL,ESP,158901,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Spain,PROCUREMENT
EXPLOSIVOS ALAVESES SA,ESP,178000,AMMUNITION SUPPLIES,Orders Awarded,2009,Q3Q4,Spain,PROCUREMENT
EXPLOSIVOS ALAVESES SA,ESP,190000,AMMUNITION SUPPLIES,Orders Awarded,2009,Q1Q2,Spain,PROCUREMENT
CIMSA,ESP,213752,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q1Q2,Spain,PROCUREMENT
EXPLOSIVOS ALAVESES SA,ESP,421400,AMMUNITION SUPPLIES,Orders Awarded,2009,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,495000,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Spain,PROCUREMENT
NUCLEO DE COMUNICACIONES Y,ESP,683722,INFRASTRUCTURE SERVICES,Orders Awarded,2009,Q1Q2,Spain,PROCUREMENT
ROHDE & SCHWARZ ESPANA,ESP,759628,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Spain,PROCUREMENT
NUCLEO DE COMUNICACIONES Y,ESP,1897156,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Spain,PROCUREMENT
AERLYPER SA,ESP,null,HELICOPTER SERVICES,Outline Agreement,2009,Q3Q4,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,null,HELICOPTER SERVICES,Outline Agreement,2009,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS SANTA BARBARA,ESP,null,"CARTRIDGE,CALIBER .50",Outline Agreement,2009,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,86505,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,92555,HELICOPTER SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,96450,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,110590,HELICOPTER SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,114653,AIRCRAFT SUPPLIES,Orders Awarded,2010,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,127193,AIRCRAFT SUPPLIES,Orders Awarded,2010,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,213776,AIRCRAFT SUPPLIES,Orders Awarded,2010,Q3Q4,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE SL,ESP,349600,HELICOPTER SUPPLIES,Orders Awarded,2010,Q3Q4,Spain,PROCUREMENT
SAISA EUROPA SA,ESP,632700,AWACS SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
INDRA,ESP,849158,HELICOPTER SERVICES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
EXPLOSIVOS ALAVESES SA,ESP,1170000,AMMUNITION SUPPLIES,Orders Awarded,2010,Q1Q2,Spain,PROCUREMENT
INDRA,ESP,1385768,HELICOPTER SUPPLIES,Orders Awarded,2010,Q3Q4,Spain,PROCUREMENT
CHLORIDE-CENER,ESP,null,MAINTENANCE OF GSE COMPONENTS,Outline Agreement,2010,Q1Q2,Spain,PROCUREMENT
REPMAN SL,ESP,null,MAINTENANCE OF GSE COMPONENTS,Outline Agreement,2010,Q1Q2,Spain,PROCUREMENT
"QUATRIPOLE INGENIERIA, S.L.",ESP,79800,PERSONAL CHEMICAL DETECTOR,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EQUIPOS INDUSTRIALES DE MANUTENCION,ESP,82397,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,88646,SET OF CABLES TO INTERCONNECT THE V,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,103140,KIT AND PIN RAMP LOCK FOR AIRCRAFT CN-235,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,110000,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,114653,AIRCRAFT SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
STAR DEFENCE LOGISTICS & ENGINEERING SL,ESP,115367,TEST SET FIRE AND F,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,123440,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,124984,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,127193,AIRCRAFT SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,152550,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,213776,AIRCRAFT SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EUROPEAN SECURITY FENCING,ESP,247200,CONCERTINA ROLL,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,281237,AMMUNITION SERVICES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EUROPEAN SECURITY FENCING,ESP,291078,CONCERTINA ROLL,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,335750,PROCUREMENT OF AMMUNITION,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE SL,ESP,349600,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
ONA ELECTROEROSION SA,ESP,397161,ELECTRICAL DISCHARGE MACHINE,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,411900,"SKID, PLATFORM",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,411900,"SKID, PLATFORM",Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,604000,FIXED WING A/C SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
DANOBAT,ESP,605907,CNC - VERTICAL TURNING CENTER,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,617850,"SKID, PLATFORM",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,617850,"SKID, PLATFORM",Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
EL SIGLO (RAMON CONFORTO ARANDA),ESP,635981,"MARK IV 12-40X60MM - BLACK, MIL DOT",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
IVECO ESPANA SL,ESP,647779,LMV MAINTENANCE KIT NO. 1,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,654750,"TRAILER, FLAT BED",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,654750,"TRAILER, FLAT BED",Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,659040,"SKID, PLATFORM",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,659040,"SKID, PLATFORM",Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,698400,"TRAILER, FLAT BED",Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,698400,"TRAILER, FLAT BED",Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
DANOBAT,ESP,800681,CYLINDRICAL GRINDING MACHINE,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
AERLYPER SA,ESP,1100000,HELICOPTER SERVICES,Outline Agreement,2011,Q1Q2,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,1100878,VOIP DATA INTEGRATOR (SOTAS),Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
IVECO ESPANA SL,ESP,1118392,LMV MAINTENANCE KIT NO. 3,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,1234516,NIGHT VISION DEVICE,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
DANOBAT,ESP,1281316,VERTICAL GRINDING MACHINE,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
INDRA,ESP,1385768,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Spain,PROCUREMENT
IVECO ESPANA SL,ESP,1411332,LMV MAINTENANCE KIT NO. 2,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,3385700,PROCUREMENT OF AMMUNITION,Orders Awarded,2011,Q3Q4,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,21000000,HELICOPTER SERVICES,Outline Agreement,2011,Q1Q2,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,77500,SUPPLIES FOR HELICOPTER,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DESARROLLO DE EQUIPOS MILITARES SL,ESP,78000,HOLSTER PISTOL,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,78500,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,80400,CARTRIDGE 5.56 MM,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,80843,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,83781,KIT CALZOS Y RAMPAS,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
FABRICA ESPANOLA DE CONFECCIONES SA,ESP,89775,VEST SMALL ARMS PROTECTIVE BODY ARM,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,90000,RE-PACKAGING OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,91192,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,91778,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,93401,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,97058,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
STAR DEFENCE LOGISTICS & ENGINEERING SL,ESP,97889,BRAKE SEGMENTED ROT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
YUMA SA,ESP,100425,COVER FIELD PACK CAMOUFLAGE - FUNDA,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
STAR DEFENCE LOGISTICS & ENGINEERING SL,ESP,106040,AXLE ASSEMBLY AUTOM,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
YUMA SA,ESP,109600,COVER FIELD PACK CAMOUFLAGE - FUNDA,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,113619,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,123570,PLATAFORMA MIXTA,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
NDT INGENIEROS,ESP,128000,INSPECTION/REPAIR/CALIBRATION OF GROUND SUPPORT EQUIPMENT,Outline Agreement,2012,Q1Q2,Spain,PROCUREMENT
YUMA SA,ESP,133200,BAG GARMENT - BOLSAS PORTAUNIFORMES,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,145500,BOMB  PRACTICE BDU-33 & SIGNAL CARTRIDGES,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,151760,CARTRIDGE 12.7 MM,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,167046,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,173372,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
MANIMPORT HI TECH SA,ESP,191487,UMPC SWITCHBACK COMPUTER,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,205950,PLATAFORMA MIXTA,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
YUMA SA,ESP,211458,FIELD PACK - MOCHILAS DE CAMPAÑA AR,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
FABRICA ESPANOLA DE CONFECCIONES SA,ESP,221340,TECHOS VIVAC ARIDOS PIXELADOS - BIV,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,236416,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,236447,NIGHT VISION DEVICE,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,261968,SUPPLY OF NAVY SPARE PARTS,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
YUMA SA,ESP,297500,LIGHT THERMAL BLANKET CAMOUFLAGE -,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EL SIGLO (RAMON CONFORTO ARANDA),ESP,304535,IC34 TRIPLE CURVE BALLISTIC  PLATE,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,323300,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,324286,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,343896,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,371554,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,377390,DANROLL 4 EJES 8*4,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,386140,SMIC,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,393200,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
AERLYPER SA,ESP,417000,AB212 EFS MODIFICATION,Outline Agreement,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,436500,REM. VEMPAR LOGISTICO,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,469260,GRENADES 40X53MM,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
FABRICA ESPANOLA DE CONFECCIONES SA,ESP,486090,FUNDAS VIVAC ARIDAS PIXELADAS - BIV,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,528346,DANROLL 4 EJES 8*4,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
FABRICA ESPANOLA DE CONFECCIONES SA,ESP,539000,SACOS DE DORMIR ARIDOS PIXELADOS -,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,540596,SMIC,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,570000,PRIMERS  PERCUSSION M82,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,611100,REM. VEMPAR LOGISTICO,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,624081,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
TECNOVE S.L.,ESP,650331,REFRIGERATED SHIPPING AND STORAGE C,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,662400,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
URO VEHICULOS ESPECIALES SA,ESP,687857,UM-2.5 FORKLIFT,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,700230,PLATAFORMA MIXTA,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,817260,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,870947,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
ARPA SA,ESP,905534,MUNITIONS SHIPPING AND STORAGE CONT,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,925399,TRANSCEIVERS,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,1112130,PLATAFORMA MIXTA,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,1178550,REM. VEMPAR LOGISTICO,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
UTILIS IBERICA SL,ESP,1363672,DECONTAMINATION KIT  I,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
