organisation,year,vendor_country,vendor_name,amount,description,country_code,Type,Period
NATO,2011,Denmark,SATAIR A/S,766904.7,AIRCRAFT SUPPLIES,DNK,Orders Awarded,Q1Q2
NATO,2011,Estonia,GOODYEAR DUNLOP TIRES BALTIC OY,160684.0,PNEUMATIC TYRES,EST,Orders Awarded,Q1Q2
NATO,2011,Finland,BRP FINLAND OY,191419.68,SNOW MOBILE MILITARY- 2012,FIN,Orders Awarded,Q1Q2
NATO,2011,Finland,BRP FINLAND OY,191419.68,SNOW MOBILE MILITARY- 2012,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,BRP FINLAND OY,318881.29,LYNX XTRIM COMMDR LTD 600 E-TEC,FIN,Orders Awarded,Q1Q2
NATO,2011,Finland,BRP FINLAND OY,318881.29,LYNX XTRIM COMMDR LTD 600 E-TEC,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,BRP FINLAND OY,404615.1,SNOWMOBILE LYNX 59 YETI,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,BRP FINLAND OY,1132566.44,SNOW MOBILE MILITARY- 2012,FIN,Orders Awarded,Q1Q2
NATO,2011,Finland,BRP FINLAND OY,1132566.44,SNOW MOBILE MILITARY- 2012,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,ENVIRONICS OY,278457.31,ENVIRONICS M-90-D1-C CWA DETECTOR,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,MASTERMARK BRANDS OY,223845.6,VICTORINOX SWISSTOOL WITH POUCH,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,MASTERMARK BRANDS OY,440908.0,VICTORINOX SWISSTOOL WITH POUCH,FIN,Orders Awarded,Q1Q2
NATO,2011,Finland,MASTERMARK BRANDS OY,440908.0,VICTORINOX SWISSTOOL WITH POUCH,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,NAMMO LAPUA OY,138160.44,AMMUNITION SUPPLIES,FIN,Orders Awarded,Q1Q2
NATO,2011,Finland,NAMMO LAPUA OY,245258.55,PROCUREMENT OF AMMUNITION,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,NAMMO LAPUA OY,337312.69,PROCUREMENT OF AMMUNITION,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,NAMMO LAPUA OY,347020.45,PROCUREMENT OF AMMUNITION,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,121625.0,GPB PD MASCULIN 104-116 C,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,133440.0,PLAQUECERAMIQUE NIV NIJIV 250X300MM,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,138777.6,BALLISTICS SOFT PACKS LEVEL III-A M,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,151220.88,GILET FEMININ 90-100 BM LIGHT BLUE,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,173750.0,GPB PD MASCULIN 88-100 L,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,187650.0,GPB PD MASCULIN 88-100 M,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,260625.0,GPB PD MASCULIN 88-100 M,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,378052.2,GILET FEMININ 80-85 BM LIGHT BLUE,FIN,Orders Awarded,Q3Q4
NATO,2011,Finland,VERSEIDAG BALLISTIC PROTECTION OY,521250.0,GPB PD MASCULIN 88-100 L,FIN,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,122043.39,ADAPTATEUR T EQUIPE CDER LES COMPOS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,126132.77,ENSEMBLE PORTE AVANT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,127083.53,BOITIER PRISES PC1 EQUIPE EPUISER 6,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,150898.4,KIT POUR REMPLACEMENT DU DISJONCTEU,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,162775.95,RALLONGE H EQUIPEE CDER LES COMPOSA,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,246708.32,KIT POUR REMPLACEMENT DU TORE ET DU,FRA,Orders Awarded,Q3Q4
NATO,2011,France,2H ENERGY,583800.0,CABLE EQUIPE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,AERAZUR,467109.5,RANDOM BROKERAGE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,AERAZUR,1926248.1,PARACHUTE DORSAL EPC-B,FRA,Orders Awarded,Q3Q4
NATO,2011,France,AIR LIQUIDE,174361.6,LIQUID GAS SUPPLY,FRA,Orders Awarded,Q1Q2
NATO,2011,France,AIRFLYSYSTEM SARL,361956.0,"COMPUTER SET,NAVIGATIONAL",FRA,Orders Awarded,Q3Q4
NATO,2011,France,ALKAN SA,127296.2,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,ANRITSU SA,123454.24,MARITIME CIS SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,ARINC TECHNOLOGIES,216930.35,FILTRE PASSE BAS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,ARINC TECHNOLOGIES,216930.35,FILTRE PASSE HAUT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,ARINC TECHNOLOGIES,374182.44,BP 485 RSK  COUNTERMEASURES SET,FRA,Orders Awarded,Q3Q4
NATO,2011,France,ART CONCEPT COMPOSITES,126387.14,CAISSON,FRA,Orders Awarded,Q1Q2
NATO,2011,France,ART CONCEPT COMPOSITES,126387.14,CAISSON,FRA,Orders Awarded,Q3Q4
NATO,2011,France,AUDEMAR JET QUAD,230317.44,MOTO MARINE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,AVIALL INC,125913.15,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,AVIALL INC,159952.86,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,AVIALL INC,672842.01,PROCUREMENT OF SWITCHES,FRA,Orders Awarded,Q3Q4
NATO,2011,France,BOLLE PROTECTION,129965.0,"GOGGLES,INDUSTRIAL",FRA,Orders Awarded,Q1Q2
NATO,2011,France,BOLLE PROTECTION,129965.0,"GOGGLES,INDUSTRIAL",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,120368.44,GENCIS&NCCAP SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CASSIDIAN,141279.6,"CABLE ASSEMBLY,SPEC",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,218902.76,"NOSE SECTION,AIRCRA",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,218902.76,"NOSE SECTION,AIRCRAFT",FRA,Orders Awarded,Q1Q2
NATO,2011,France,CASSIDIAN,242600.87,ELECTRICAL PROPULS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CASSIDIAN,242600.87,ELECTRICAL PROPULS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,291869.42,"NOSE SECTION,AIRCRA",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,1192957.77,"CENTER SECTION,AIRC",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CASSIDIAN,1192957.77,"CENTER SECTION,AIRCRAFT",FRA,Orders Awarded,Q1Q2
NATO,2011,France,CASSIDIAN,6668815.51,CIS IN-THEATRE TECHNICAL SUPPORT,FRA,Outline Agreement,Q3Q4
NATO,2011,France,CEGELEC,1533593.95,RANDOM BROKERAGE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CENTIGON FRANCE SAS,954740.96,CARS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,CMD ENGRENAGES ET RÉDUCTEURS,264864.5,SPARES FOR BOGIFLEX,FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,123710.0,"6"" RED 12HR  PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,123710.0,LUMINESCENT LIGHTS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,128575.0,"1 5""TYPEA MINI BLUE 4HR PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,"6"" GREEN 12HR PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,"6"" RED 12HR  PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,"6"" YELLOW HI 30MIN PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,LUMINESCENT LIGHTS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,LUMINESCENT LIGHTS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,371130.0,LUMINESCENT LIGHTS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,439240.0,LIGHT  CHEMILUMINESCENT  6 INCH  IN,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,439240.0,LIGHT  CHEMILUMINESCENT  6 INCH  IN,FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,538625.0,"6"" IR 3HR PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,"6"" BLUE 8HR  PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,"6"" BLUE 8HR  PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,"6"" GREEN 12HR PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,"6"" RED 12HR  PF",FRA,Orders Awarded,Q3Q4
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,LIGHTSTICKS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,CYALUME TECHNOLOGIES SAS,742260.0,LUMINESCENT LIGHTS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,156514.0,PC ADMINISTRATEUR  - ADMINISTRATION,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,156514.0,PC ADMINISTRATEUR  - ADMINISTRATION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,511242.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,511242.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,516537.9,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,516537.9,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,537930.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,544727.1,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,1192898.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,1192898.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,1205255.1,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q1Q2
NATO,2011,France,DIGINEXT,1205255.1,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,1255170.0,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,DIGINEXT,1271029.9,RÉCEPTEUR GPS - MILGPS RECEIVER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,ESDT,307238.65,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,ESDT,2098900.0,SUBMARINE TRAINING TARGET,FRA,Orders Awarded,Q3Q4
NATO,2011,France,EURENCO,312237.09,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,EURENCO,1101575.0,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,EUROCOPTER FRANCE,133606.8,HELICOPTER SERVICES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,EUROCOPTER FRANCE,138927.72,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,EUROCOPTER FRANCE,155846.8,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,EXAVISION SAS,113966.1,CAPTEUR TELECOMMANDABLES A DISTANCE,FRA,Orders Awarded,Q1Q2
NATO,2011,France,EXAVISION SAS,113966.1,CAPTEUR TELECOMMANDABLES A DISTANCE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,FPM FOURNITURE DE PRODUITS MANUFACTURES,141724.4,ELEMENT FILTRANT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,GOODRICH ACTUATION SYSTEMS SAS,117239.55,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,GOODRICH ACTUATION SYSTEMS SAS,274438.82,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,GUINAULT SA,2902320.0,AWACS SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,HECKLER & KOCH FRANCE SAS,248625.13,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HECKLER & KOCH FRANCE SAS,273802.2,GUNS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HECKLER & KOCH FRANCE SAS,281942.04,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HECKLER & KOCH FRANCE SAS,967349.65,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,HECKLER & KOCH FRANCE SAS,3190772.8,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,HONEYWELL AFTERMARKET EUROPE,607777.5,JEUX GARNITURE FREINS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HONEYWELL AFTERMARKET EUROPE,607777.5,JEUX GARNITURE FREINS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HONEYWELL AFTERMARKET EUROPE,1459500.0,JEUX GARNITURE FREINS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,HUMBERT CTTS,108246.25,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,HUMBERT CTTS,158460.0,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,IFOPSE,268329.77,FIRE TRAINING SIMULATORS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,IFOPSE,268329.77,FIRE TRAINING SIMULATORS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,IXSEA,437460.8,COFFRET INTERFACE NUMÉRIQUE ANALOGI,FRA,Orders Awarded,Q3Q4
NATO,2011,France,IXSEA,1420580.0,AHRS QUADRANS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,K2 FRANCE,149516.74,INFORMATION SYSTEMS SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,KASTINGER SARL,143885.85,BRETELLE D'ARME POUR MINIMI,FRA,Orders Awarded,Q3Q4
NATO,2011,France,KASTINGER SARL,2198034.8,BRETELLE D'ARME POUR FAMAS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,KATADYN FRANCE,390061.8,"POCKET ARMY (100% BLACK, NO MARKING",FRA,Orders Awarded,Q3Q4
NATO,2011,France,L.F.E. SAS,121358.12,TRULINK KIT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LAMBIN RAVAU,169948.35,HARNAIS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LC INTERNATIONAL CONSULTING,348662.04,HANDSET DUAL IRIDIUM AND THURAYA,FRA,Orders Awarded,Q1Q2
NATO,2011,France,LC. INTERNATIONAL CONSULTING,286780.63,SIERRA MC MOBILE TRANSMISSION SYSTE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LC. INTERNATIONAL CONSULTING,348662.04,HANDSET DUAL IRIDIUM AND THURAYA,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LC. INTERNATIONAL CONSULTING,376553.78,HANDSET DUAL IRIDIUM AND THURAYA,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LOGISTIC SOLUTIONS,661652.51,COMBAT TRAINING MODULE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,LURO ETS,279181.5,TESTER PRESSURE EQUALIZER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,M2I-TECHNICS,111401.55,PANASONIC TOUGHBOOK,FRA,Orders Awarded,Q3Q4
NATO,2011,France,M2I-TECHNICS,298877.8,"AMPLIFIER,RADIO FREQUENCY",FRA,Orders Awarded,Q3Q4
NATO,2011,France,MBDA FRANCE SA,38785044.9,DEMILITARIZATION OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,MSA GALLET SA,195292.22,GILET PARE BALLES LARGABLE COYOTE B,FRA,Orders Awarded,Q3Q4
NATO,2011,France,MSA GALLET SA,520780.18,GILET PARE BALLES LARGABLE COYOTE B,FRA,Orders Awarded,Q3Q4
NATO,2011,France,MSA GALLET SA,558987.11,POCHE RG-IR FAMAS M16,FRA,Orders Awarded,Q3Q4
NATO,2011,France,MSA GALLET SA,567381.32,HELMETS,FRA,Orders Awarded,Q1Q2
NATO,2011,France,MSA GALLET SA,755131.4,GILET PARE BALLES LARGABLE COYOTE B,FRA,Orders Awarded,Q3Q4
NATO,2011,France,NOBEL SPORT,323675.4,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,NUANCES ORGANISATION,122842.64,DRONE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,NYCO SA (ETS),132906.24,"LUBRICATING OIL,GENERAL PURPOSE",FRA,Orders Awarded,Q3Q4
NATO,2011,France,OAKLEY ICON,2581230.0,BALLISTIC GOGGLES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,PROCOMM-MMC,177370.95,VALISE IPIXCEL,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RAYTHEON SYSTEMS FRANCE,9416816.32,PROCUREMENT OF  KIT PAVEWAY II MXU- 650/B AIRFOIL GROUP,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RENAULT TRUCKS SAS,2512383.3,CP SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,RIVOLIER SA,142447.2,RANDOM BROKERAGE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,RIVOLIER SA,142447.2,SIG SAUER SP 2022 FOF PISTOL,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RIVOLIER SA,205892.36,STREAMLIGHT TLR-2S (160 LUMENS + ST,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RIVOLIER SA,231219.55,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,RIVOLIER SA,274335.96,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RIVOLIER SA,298460.8,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,RIVOLIER SA,639400.0,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,RIVOLIER SA,695000.0,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,RIVOLIER SA,1491720.2,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,ROCKWELL-COLLINS FRANCE,2154500.0,INSPECTION AND REPAIR OF AS532 COUGAR COMPONENTS,FRA,Outline Agreement,Q3Q4
NATO,2011,France,SAE ALSETEX,291110.48,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAE ALSETEX,328623.8,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAE ALSETEX,392046.72,AMMUNITION SERVICES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAE ALSETEX,1124127.75,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAE ALSETEX,1593187.42,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAE ALSETEX,2306556.27,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAGEM DS,118243.13,DRONE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAGEM DS,144864.41,"BATI CHARGE UTILE EQUIPEE - MOUNT,G",FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAGEM DS,234089.9,FLUIDE SYLTHERM FUT 17KG,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAGEM DS,281217.85,"POD - FAIRING,ARMAMENT PO",FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAGEM DS,323133.3,"HELICE BIPALES - PROPELLER,AIRCRAFT",FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAGEM DS,495566.97,RECEIVER-TRANSMITTER UNIT,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAINT FRERES CONFECTION,430426.01,FILET PARE-SOLEIL &AMP; ANTI-CHALEU,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SAPL,192231.44,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SAPL,833109.01,PROCUREMENT OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SECAPEM SA,653300.0,"LAUNCHING CONTAINER,GUIDED MISSILE,TRAIN",FRA,Orders Awarded,Q3Q4
NATO,2011,France,SIGIER-CAPELLE,239358.0,KIT CLEANING FMAS 5.56 MM,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SNPE,688772.8,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,SOBRENA,2867709.0,"HELIPAD, NAVY",FRA,Orders Awarded,Q3Q4
NATO,2011,France,STAR PACK SA,421170.0,ETUI PISTOLET AUTOMATIQUE-HOLSTER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STAR PACK SA,421170.0,ETUI PISTOLET AUTOMATIQUE-HOLSTER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STAR PACK SA,421170.0,ETUI PISTOLET AUTOMATIQUE-HOLSTER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STAR PACK SA,421170.0,ETUI PISTOLET AUTOMATIQUE-HOLSTER,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STECO  POWER,943840.58,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,FRA,Orders Awarded,Q1Q2
NATO,2011,France,STECO POWER,943840.58,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STECO POWER,2932141.06,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STECO POWER,4002922.0,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,119117.44,CAPOT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,131430.06,MODEM RADIO CONFIGURE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,152337.05,"TARGET HOLDING SET,TRAINING",FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,160128.0,SYSTÈME DE RADIOCOMMANDE ET DE CONT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,205581.0,ADAPTATION PANNEAU SOLAIRE PCI300 +,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,336268.8,KIT PCI100 CISEAU-BASCULANT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,456734.54,CHARIOT MOBILE INFANTERIE 300 NOUVE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,1072405.85,PORTE-CIBLE PCI100,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,1158676.2,PORTE-CIBLE PCA400,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERELA,3325071.82,PORTE-CIBLE PCI300 SOLAIRE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERNE SA,163380.6,LOTS COMMANDE STAR SYRANOS,FRA,Orders Awarded,Q3Q4
NATO,2011,France,STERNE SA,264558.7,RECEIVER TRANSMITTER RADIO,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SUNROCK,181211.52,MONOCULAIRE AVEC TUBE INTENSIFICATE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SUNROCK,511520.0,MAGNETOMETER RACKET,FRA,Orders Awarded,Q3Q4
NATO,2011,France,SUPRAMECA SAS,622583.78,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,TDA ARMEMENTS SAS,2919000.0,AMMUNITION SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES AIR SYSTEMS SA,242471.6,COBRA SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES ANGENIEUX,224061.05,THALES MONIE TUBE XR5 NOIR ET BLANC,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES ANGENIEUX,452417.2,JUMELLES DE VISION NOCTURE LUCIE XD,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES ANGENIEUX,462953.4,JUMELLES DE VISION NOCTURE LUCIE XD,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES ANGENIEUX,462953.4,JUMELLES DE VISION NOCTURE LUCIE XD,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES ANGENIEUX,635531.63,JUMELLE OB70 LUCIE VERSION MARINE,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES ANGENIEUX,661362.0,JUMELLES DE VISION NOCTURE LUCIE XD,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES ANGENIEUX,661362.0,JUMELLES DE VISION NOCTURE LUCIE XD,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES AVIONICS,152880.54,HELICOPTER SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES COMMUNICATIONS,316920.0,RANDOM BROKERAGE SUPPLIES,FRA,Orders Awarded,Q1Q2
NATO,2011,France,THALES COMMUNICATIONS,1459500.0,SATCOM SERVICES,FRA,Outline Agreement,Q1Q2
NATO,2011,France,THALES COMMUNICATIONS & SECURITY SA  PARC D'ACTIVITES KLEBER,278556.0,ELECTRICAL POWER UNIT,FRA,Orders Awarded,Q3Q4
NATO,2011,France,THALES ELECTRON DEVICES,136220.0,NADGE SUPPLIES,FRA,Orders Awarded,Q1Q2
